episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
120,1.0,0.09769129186301814,1.0446998576333102,131.76478801548737,30.0,1.0,9,0.0,False,True,0.4214817794948422,1,33.2752652951703,628.375,prepare,0.0,0
120,2.0,0.0978847579484621,1.0445381391241106,131.73752397506223,0.0,0.5,4,5.001,False,True,0.42073080791072537,1,33.2752652951703,628.452,in_progress,0.0,0
120,3.0,0.09223190587644199,1.050739143976609,131.76679350478102,30.0,0.5,8,5.001,False,True,0.4459474183204083,1,33.2752652951703,628.516,in_progress,0.0,0
120,4.0,0.07731720014323605,1.059091392996938,132.97284511817972,0.0,0.5,4,5.001,False,True,0.49471209545510236,1,33.2752652951703,628.584,in_progress,0.0,0
120,5.0,0.054896444290466265,1.0767719521960653,133.99563961656133,0.0,0.5,4,5.001,False,True,0.579388247430137,1,33.2752652951703,628.654,in_progress,0.0,0
120,6.0,0.029814769698953095,1.103752245913781,133.82793642691308,-15.0,1.0,3,5.001,False,True,0.6900905428654837,2,33.2752652951703,628.714,in_progress,0.0,0
120,7.0,0.008693464336479162,1.1344232473192335,132.3628134288024,-15.0,0.5,2,5.001,False,True,0.8009525183014389,2,33.2752652951703,628.77,in_progress,0.0,0
120,8.0,-0.015447237629795649,1.1751898079290566,130.11576361132506,0.0,0.5,4,5.001,False,True,0.9403329175146626,2,33.2752652951703,628.839,in_progress,0.0,0
120,9.0,-0.045754707513676926,1.2166101882464964,129.301864194882,15.0,1.0,7,5.001,False,True,1.0936649777909113,3,33.2752652951703,628.908,in_progress,0.0,0
120,10.0,-0.0785644810402262,1.2521765138893326,129.89526341386568,30.0,0.5,8,5.001,False,True,1.2390820933947,3,33.2752652951703,628.969,in_progress,0.0,0
120,11.0,-0.11936792387930928,1.284616110026795,132.36413105441412,0.0,0.5,4,5.001,False,True,1.3938214502583484,3,33.2752652951703,629.043,in_progress,0.0,0
120,12.0,-0.15783165439689312,1.3152538047220441,134.1806352169261,-15.0,0.5,2,5.001,False,True,1.5394732197986232,3,33.2752652951703,629.107,in_progress,0.0,0
120,13.0,-0.1753154109641387,1.3436422753831678,132.5148953375768,-15.0,1.0,3,5.001,False,True,1.638117628795394,3,33.2752652951703,629.178,in_progress,0.0,0
120,14.0,-0.1955297925497818,1.382555083090337,129.81324560344163,-30.0,0.5,0,5.001,False,True,1.765829516301815,4,33.2752652951703,629.237,in_progress,0.0,0
120,15.0,-0.203991996706317,1.4278241560627956,124.46416963836126,-15.0,1.0,3,5.001,False,True,1.8842926775406041,4,33.2752652951703,629.31,in_progress,0.0,0
120,16.0,-0.21219230974332517,1.475399286424875,119.73863389102837,15.0,1.0,7,5.001,False,True,2.0074044739606336,4,33.2752652951703,629.38,in_progress,0.0,0
120,17.0,-0.23158284537728885,1.5232642172407902,118.08971360464369,0.0,0.5,4,5.001,False,True,2.1535480350899006,4,33.2752652951703,629.449,in_progress,0.0,0
120,18.0,-0.26069433160484534,1.56691690466023,119.29746981746648,30.0,1.0,9,5.001,False,True,2.3101990272152673,4,33.2752652951703,629.515,in_progress,0.0,0
120,19.0,-0.3015080627201467,1.607605041239887,122.94248722425839,0.0,0.5,4,5.001,False,True,2.4830729760784878,4,33.2752652951703,629.58,in_progress,0.0,0
120,20.0,-0.34208516045187753,1.6386486001401084,127.06442801928962,0.0,0.5,4,5.001,False,True,2.6338028283903645,4,33.2752652951703,629.648,in_progress,0.0,0
120,21.0,-0.37440856534365297,1.672865838465613,128.31764000361875,-15.0,0.5,2,5.001,False,True,2.7751935176335985,5,33.2752652951703,629.703,in_progress,0.0,0
120,22.0,-0.401861989602934,1.7085166296895076,128.178219006099,0.0,1.0,5,5.001,False,True,2.910087226033833,5,33.2752652951703,629.773,in_progress,0.0,0
120,23.0,-0.42689872352453784,1.7423042625011236,127.84686346775554,15.0,1.0,7,5.001,False,True,3.0359717100219523,5,33.2752652951703,629.849,in_progress,0.0,0
120,24.0,-0.47408608999154445,1.7857872551855258,130.25665403578137,-30.0,1.0,1,5.001,False,True,3.2279787697324402,5,33.2752652951703,629.919,in_progress,0.0,0
120,25.0,-0.5150877521396444,1.8317912078789336,130.57202963395596,-15.0,1.0,3,5.001,False,True,3.4131724171512126,5,33.2752652951703,629.984,in_progress,0.0,0
120,26.0,-0.5433961766429565,1.8860499072011536,127.36401935139735,-30.0,1.0,1,5.001,False,True,3.591613951686207,6,33.2752652951703,630.046,in_progress,0.0,0
120,27.0,-0.5632954689118699,1.9513303926708603,121.92925419443306,15.0,1.0,7,5.001,False,True,3.778067531524797,6,33.2752652951703,630.114,in_progress,0.0,0
120,28.0,-0.5818226140856988,2.019818314429749,117.19565757428605,15.0,0.5,6,5.001,False,True,3.9689963097805028,6,33.2752652951703,630.189,in_progress,0.0,0
120,29.0,-0.6157185591538124,2.0795506168386035,117.82396341919107,-15.0,0.5,2,5.001,False,True,4.171061838838008,6,33.2752652951703,630.25,in_progress,0.0,0
120,30.0,-0.6455620567328388,2.12552843700773,119.196791357974,15.0,1.0,7,5.001,False,True,4.333955314578687,6,33.2752652951703,630.309,in_progress,0.0,0
120,31.0,-0.6735623602630684,2.1649269289390873,120.50110965642753,30.0,0.5,8,5.001,False,True,4.478377435125745,6,33.2752652951703,630.374,in_progress,0.0,0
120,32.0,-0.7135093896452697,2.2036510395065654,123.86247269410318,30.0,1.0,9,5.001,False,True,4.645095858434518,7,33.2752652951703,630.443,in_progress,0.0,0
120,33.0,-0.7650130729922995,2.242429317219443,128.72677573189972,0.0,0.5,4,5.001,False,True,4.834971623537052,7,33.2752652951703,630.511,in_progress,0.0,0
120,34.0,-0.8176659617493629,2.2771422093530784,133.16385992471416,-15.0,0.5,2,5.001,False,True,5.018171424725313,7,33.2752652951703,630.576,in_progress,0.0,0
120,35.0,-0.8595390096914095,2.3088301073521063,135.66950464490483,15.0,1.0,7,5.001,False,True,5.17289077883074,7,33.2752652951703,630.645,in_progress,0.0,0
120,36.0,-0.9078132948219736,2.3384808108964052,138.71067676192067,0.0,0.5,4,5.001,False,True,5.335779874259711,7,33.2752652951703,630.717,in_progress,0.0,0
120,37.0,-0.9624168558457361,2.367285984496661,142.3420705741925,0.0,0.5,4,5.001,False,True,5.50937648922782,8,33.2752652951703,630.785,in_progress,0.0,0
120,38.0,-1.0070633738505979,2.3921675628699495,144.6514518150411,-15.0,0.5,2,5.001,False,True,5.6543077993452675,8,33.2752652951703,630.847,in_progress,0.0,0
120,39.0,-1.0450194424235533,2.4159929801575677,145.25897049985295,-15.0,0.5,2,5.001,False,True,5.7835333704268415,8,33.2752652951703,630.912,in_progress,0.0,0
120,40.0,-1.0829043716287186,2.4446612269565655,144.81493551200543,-15.0,1.0,3,5.001,False,True,5.923579600616458,8,33.2752652951703,630.98,in_progress,0.0,0
120,41.0,-1.1171748010385905,2.479152006741435,142.827355116584,30.0,1.0,9,5.001,False,True,6.06945475239605,8,33.2752652951703,631.039,in_progress,0.0,0
120,42.0,-1.163360959645138,2.517567241227669,142.1629538405337,30.0,0.5,8,5.001,False,True,6.247891181298228,8,33.2752652951703,631.118,in_progress,0.0,0
120,43.0,-1.2114320957809013,2.5409820171613777,144.73107715403142,30.0,1.0,9,5.001,False,True,6.3963184072381525,9,33.2752652951703,631.179,in_progress,0.0,0
120,44.0,-1.2557854859816937,2.550358267650329,149.0048688004142,-15.0,1.0,3,5.001,False,True,6.505744654230046,9,33.2752652951703,631.249,in_progress,0.0,0
120,45.0,-1.3075532530606746,2.5683190564446803,151.61239436717196,-30.0,0.5,0,5.001,False,True,6.64925734224002,9,33.2752652951703,631.311,in_progress,0.0,0
120,46.0,-1.3526157560286325,2.6000895051079813,150.11476632882446,-30.0,0.5,0,5.001,False,True,6.8104481722953105,9,33.2752652951703,631.38,in_progress,0.0,0
120,47.0,-1.3891739864844777,2.632101047060799,147.91825215064657,30.0,0.5,8,5.001,False,True,6.9552922034558,9,33.2752652951703,631.445,in_progress,0.0,0
120,48.0,-1.4198991542213135,2.6578714281427964,146.5026074341192,0.0,0.5,4,5.001,False,True,7.0744734083052885,9,33.2752652951703,631.518,in_progress,0.0,0
120,49.0,-1.459262938140276,2.6788449188528958,147.47768395396125,-30.0,0.5,0,5.001,False,True,7.200049791865573,9,33.2752652951703,631.589,in_progress,0.0,0
120,50.0,-1.4962569572835922,2.7014076211593174,147.74421193207388,-30.0,1.0,1,5.001,False,True,7.324487210375935,10,33.2752652951703,631.645,in_progress,0.0,0
120,51.0,-1.5233640254604148,2.7349912798041998,144.45646905362102,-30.0,1.0,1,5.001,False,True,7.454058092646874,10,33.2752652951703,631.714,in_progress,0.0,0
120,52.0,-1.546890942902559,2.7855235356876946,138.06261723834905,15.0,0.5,6,5.001,False,True,7.61466236092322,10,33.2752652951703,631.771,in_progress,0.0,0
120,53.0,-1.5683759951475396,2.8342748896870917,132.44791319063754,-15.0,1.0,3,5.001,False,True,7.767324743008164,10,33.2752652951703,631.856,in_progress,0.0,0
120,54.0,-1.5929587771032545,2.8888034132584663,128.06947365616892,0.0,0.5,4,5.001,False,True,7.938985581405604,10,33.2752652951703,631.91,in_progress,0.0,0
120,55.0,-1.6116822038158656,2.9305231685898034,125.17429580849884,0.0,0.5,4,5.001,False,True,8.070154179516873,10,33.2752652951703,631.986,in_progress,0.0,0
120,56.0,-1.6399419642404096,2.9833322319924243,123.54746053869023,-15.0,1.0,3,5.001,False,True,8.245272160052162,11,33.2752652951703,632.048,in_progress,0.0,0
120,57.0,-1.6581823828984397,3.027620410779198,121.36361724320294,15.0,1.0,7,5.001,False,True,8.3812571457893,11,33.2752652951703,632.117,in_progress,0.0,0
120,58.0,-1.6809412876650145,3.0861301106405685,118.85909547805059,30.0,1.0,9,5.001,False,True,8.55824147132293,11,33.2752652951703,632.176,in_progress,0.0,0
120,59.0,-1.7130240527179232,3.134888086848023,119.86736291441046,15.0,0.5,6,5.001,False,True,8.731597309015878,11,33.2752652951703,632.246,in_progress,0.0,0
120,60.0,-1.7596739042482834,3.185284627477439,123.35812478218452,15.0,0.5,6,5.001,False,True,8.937936928329222,11,33.2752652951703,632.299,in_progress,0.0,0
120,61.0,-1.801828577046986,3.214836938340948,127.82901958460799,0.0,0.5,4,5.001,False,True,9.088499548998383,12,33.2752652951703,632.384,in_progress,0.0,0
120,62.0,-1.8401763314301656,3.2470463151723643,130.32238755265098,0.0,0.5,4,5.001,False,True,9.237422060947365,12,33.2752652951703,632.441,in_progress,0.0,0
120,63.0,-1.867345318372654,3.2717641609006627,131.43522154598642,30.0,0.5,8,5.001,False,True,9.347192880104654,12,33.2752652951703,632.513,in_progress,0.0,0
120,64.0,-1.9066291255879133,3.2998487124004865,134.008875879674,0.0,0.5,4,5.001,False,True,9.48872492684654,12,33.2752652951703,632.569,in_progress,0.0,0
120,65.0,-1.938072777275631,3.3204230559553123,136.0783235913125,0.0,0.5,4,5.001,False,True,9.598672278551957,12,33.2752652951703,632.643,in_progress,0.0,0
120,66.0,-1.9714146114669937,3.3463625217451223,137.1789627692987,-30.0,0.5,0,5.001,False,True,9.724337496578924,12,33.2752652951703,632.708,in_progress,0.0,0
120,67.0,-1.9954253728114508,3.3666323259351145,137.56520402363316,0.0,0.5,4,5.001,False,True,9.818273498553204,12,33.2752652951703,632.781,in_progress,0.0,0
120,68.0,-2.0288830746793725,3.3938639631258067,138.12004479780802,0.0,0.5,4,5.001,False,True,9.9469760607624,12,33.2752652951703,632.84,in_progress,0.0,0
120,69.0,-2.0584102790253933,3.416850411249405,138.75872174689806,15.0,0.5,6,5.001,False,True,10.058295780841322,13,33.2752652951703,632.911,in_progress,0.0,0
120,70.0,-2.0894509780290877,3.435634782972739,140.2828480245073,0.0,0.5,4,5.001,False,True,10.163680959528103,13,33.2752652951703,632.98,in_progress,0.0,0
120,71.0,-2.1203255213838132,3.455712624894317,141.335271581352,0.0,0.5,4,5.001,False,True,10.271518050959912,13,33.2752652951703,633.045,in_progress,0.0,0
120,72.0,-2.1530351484515875,3.478045105885681,142.05474563867213,30.0,1.0,9,5.001,False,True,10.388060750544591,13,33.2752652951703,633.119,in_progress,0.0,0
